name,birth,nationality,gender,height,weight,hair_color,eye_color,build,race,first_mentioned_book,first_mentioned_chapter,last_mentioned_book,last_mentioned_chapter,first_appeared_book,first_appeared_chapter,last_appeared_book,last_appeared_chapter,affiliation,title,rank,status,death,occupation,ajah,clan,sept,animal_type,color,owner
Ianelle,,Seanchan,Female,,,,,,,,,,,WH,14,WH,14,,,,Alive,,,,,,,,
Ivon,,Unknown,Male,,,,,,,,,,,TSR,1,TSR,1,Children of the Light,,,Alive,,Soldier,,,,,,
Ishigari Terasian,,Arafellin,Male,,,,,Fat,,,,,,TPOD,Prologue,TPOD,Prologue,,Lord,General,Alive,,,,,,,,
Ismic,,Kandori,Male,,,,,,,TPOD,Prologue,TPOD,Prologue,,,,,,Lord,Lord,Alive,,,,,,,,
Ishamael,Age of Legends,Unknown,Male,Tall,,Black,Fiery,,,,,AMOL,25,TEOTW,Prologue,TDR,56,,Ba'alzamon,Chosen,Dead,999 NE,,,,,,,
Iralin,,Domani,Male,Tall,,,,Willowy,,,,,,TGS,42,TOM,25,Council of Merchants,,,Alive,,Merchant,,,,,,
Inlow,,Andoran,Male,,,,,,,TEOTW,33,TEOTW,33,,,,,,,,Alive,,Innkeeper,,,,,,
Ingtar Shinowa,,Shienaran,Male,Stocky,,Dark,Dark,,,,,TGH,47,TEOTW,46,TGH,46,The Light,Lord Ingtar of House Shinowa,Lord,Dead,998 NE,,,,,,,
Indirian,,Aiel,Male,Average,,,Emerald,Gaunt,,TFOH,2,,,LOC,24,ACOS,18,,,,Alive,,Clan chief,,,,,,
Ihvon,,Unknown,Male,Tall,Slender,,,,,,,,,TGH,2,WH,23,,,,Presumed dead,,Warder,,,,,,
Ianor,,Shienaran,Male,,,Topknot,,,,,,,,TOM,23,TOM,23,Lan Mandragoran,,,Alive,,Soldier,,,,,,
Nyein din Kalede,,Unknown,Female,,,Dark,Dark,,,WH,11,COT,21,,,,,White Tower,,Aes Sedai,Alive,,Librarian,Brown Ajah,,,,,
Notori,,Unknown,Female,,,,,,,TOM,37,TOM,37,,,,,Black Ajah,,Aes Sedai,Dead,1000 NE,,Unknown Ajah,,,,,
Notasha,,Unknown,Female,,,,,,,,,,,TGS,41,TGS,41,White Tower,,Aes Sedai,Alive,,,Red Ajah,,,,,
Norlesh,,Aiel,Female,Tall,,,,,,TOM,48,,,,,,,,,,Unknown,,Unknown occupation,,Unknown clan,Unknown sept,,,
Norlea,,Aiel,Female,,,,,,,,,,,ACOS,Prologue,TPOD,11,Sevanna,,,Alive,,Wise One,,Shaido,Unknown sept,,,
Norla,,Black Hills,Female,,,,,,,WH,34,COT,23,,,,,,,,Dead,,,,,,,,
Iagin Handar,,Tairen,Male,,,,,Stocky,,,,,,KOD,21,KOD,21,Defender of the Stone,,,Alive,,Soldier,,,,,,
Norine Dovarna,,Unknown,Female,,,,Large,,,,,,,ACOS,Prologue,KOD,24,White Tower,,Aes Sedai,Alive,,,White Ajah,,,,,
Norie,,Seanchan,Female,,,,,,,,,,,KOD,4,KOD,4,,,,Alive,,,,,,,,
Nisura,,Shienaran,Female,,,,,,,,,,,TGH,8,TGH,8,,,,Alive,,attendant,,,,,,
Nissa,,Unknown,Female,,,,,,,,,,,TOM,27,TOM,27,White Tower,,Accepted,Alive,,,,,,,,
Nisao Dachen,821 NE,Unknown,Female,Very Short,,,,,,,,TGS,45,TFOH,50,KOD,23,White Tower,,Aes Sedai,Alive,,,Yellow Ajah,,,,,
Nisain a'Cowel,873 NE,Murandian,Female,,,,Startlingly blue,Gangly,,,,,,COT,19,COT,19,White Tower,,Aes Sedai,Alive,,,Gray Ajah,,,,,
Niolle,,Unknown,Female,,,,,,,,,,,KOD,22,KOD,22,,,First Twelve,Alive,,,,,,,,
Nimri,,Unknown,Female,,,,,Petite,,,,,,TOM,23,TOM,23,White Tower,,Aes Sedai,Alive,,,Green Ajah,,,,,
Nildra,,Unknown,Female,,,Gray,,"Stick-like, wiry",,,,,,LOC,8,TPOD,18,White Tower,,,Alive,,Maid,,,,,,
Niko Tokama,,Unknown,Female,,,,,,,,,WH,Prologue,WH,Prologue,,,,,,Alive,,Inventor,,,,,,
Niere,,Unknown,Female,,,,,,,TOM,20,TOM,20,,,,,White Tower,,Aes Sedai,Alive,,,Yellow Ajah,,,,,
Niella,,Aiel,Female,,,Dark reddish,Blue-green,,,,,,,TFOH,36,LOC,18,The Dragon Reborn,,,Alive,,,,,,,,
Nieda Sidoro,,Illianer,Female,,,,,Stout,,,,,,TGH,9,TDR,44,Moiraine Damodred,,,Alive,,Innkeeper,,,,,,
Nicola Treehill,974 NE,Ghealdanin,Female,Average,,Dark,"Black, big",Slender,,,,,,TFOH,49,TOM,38,White Tower,,Accepted,Dead,1000 NE,,,,,,,
Nichil,,Aiel,Female,Short,,Golden,,,,,,,,AMOL,5,AMOL,5,Rand al'Thor,,,Alive,,,,Unknown clan,Unknown sept,,,
Nianh,,Unknown,Female,,,,,,,TPOD,Prologue,TPOD,Prologue,,,,,White Tower,,Aes Sedai,Alive,,,Unknown Ajah,,,,,
Niande Moorwyn,851 NE,Unknown,Female,,,Pale,,Plump,,LOC,25,,,ACOS,36,ACOS,36,,,Aes Sedai,Alive,,,Gray Ajah,,,,,
Neysa Ayellin,,Andoran,Female,,,"Gray, braided",,,,,,,,TSR,42,TSR,56,Two Rivers,Women's Circle Member,,Alive,,,,,,,,
Nevarin,,Aiel,Female,,,"Sandy, long",Green,,,,,,,ACOS,27,TOM,4,Perrin Aybara,,,Alive,,Wise One,,Unknown clan,Unknown sept,,,
Nesune Bihara,826 NE,Kandori,Female,,,Dark,Almost black,Slender,,,,,,LOC,Prologue,AMOL,23,Dragon Reborn,,Aes Sedai,Alive,,,Brown Ajah,,,,,
Nestelle din Sakura South Star,,Unknown,Female,,,,,,,,,COT,1,WH,31,WH,31,,,Windfinder,Alive,,,,,,,,
Nesta din Reas Two Moons,,Unknown,Female,,,White,Dark,,,,,WH,14,ACOS,13,ACOS,37,,,Mistress of the Ships,Dead,1000 NE,,,,,,,
Owyn Merrilin,,Andoran,Male,,,,,,,TEOTW,26,,,,,,,,,,Dead,,,,,,,,
Owein,,Unknown,Male,,,,,,,TSR,31,LOC,43,,,,,,,,Dead,999 NE,Warder,,,,,,
Otarin,,Unknown,Male,,,,,,,,,,,TGH,47,,,Horn of Valere,,Hero of the Horn,Bound to the Wheel,,,,,,,,
Corlan Dashiva,,Black Hills,Male,,,"Lank, untrimmed",,,,,,KOD,3,LOC,Prologue,WH,35,,,Chosen,Dead,1000 NE,Asha'man,,,,,,
Oren Dautry,,Andoran,Male,Tall,,,,Lean,,TEOTW,5,,,KOD,29,KOD,29,Two Rivers,,,Alive,,,,,,,,
Ortis,,Mayener,Male,,,,,,,,,,,TPOD,10,TPOD,10,Mayene,,Squadman,Alive,,Soldier,,,,,,
Orban,,Unknown,Male,,,Dark,,,,,,,,TDR,33,TDR,35,,Lord,,Alive,,Hunter of the Horn,,,,,,
Oratar,,Unknown,Male,,,Bald,,,,TOM,7,,,TOM,34,TOM,34,Children of the Light,,,Alive,,Soldier,,,,,,
Nesita,,Unknown,Female,,,,Blue,Plump,,,,TGS,Epilogue,KOD,24,TGS,18,Black Ajah,,Aes Sedai,Alive,,,Red Ajah,,,,,
Nesair,,Aiel,Female,,,,,,,,,,,TPOD,27,TPOD,27,,,,Alive,,,,Shaido,Unknown sept,,,
Nerrine,,Aiel,Female,,,,,,,,,,,TSR,25,TSR,25,,,,Dead,,,,Da'shain Aiel,,,,
Nerith,,Seanchan,Female,,,,,,,,,,,TPOD,22,TPOD,23,Ever Victorious Army,,,Alive,,,,,,,,
Nerilea,,Aiel,Female,,,,,,,,,,,ACOS,7,ACOS,7,,,,Alive,,,,Unknown clan,Unknown sept,,,
Nenci,,Seanchan,Female,,,,,,,,,,,TGS,Prologue,TGS,Prologue,,,,Alive,,,,,,,,
Nemaris,,Unknown,Female,,,,,,,KOD,1,KOD,1,,,,,,,,Alive,,,,,,,,
Nelsa,,Altaran,Female,,,,,Slim,,,,COT,29,COT,29,,,,,,Alive,,,,,,,,
Nelein Matherin,,Andoran,Female,,,,,,,COT,10,,,,,,,House Matherin,Lady,Lady,Dead,,,,,,,,
Nelavaire Demasiellin,850 NE,Cairhienin,Female,,,,,,,TGS,31,TOM,15,,,,,White Tower,,Aes Sedai,Alive,,,Green Ajah,,,,,
Nela Thane,,Andoran,Female,,,,,,,,,TFOH,55,,,,,Two Rivers,,,Alive,,,,,,,,
Olver,,Cairhienin,Male,,,,,Gaunt,,,,AMOL,Epilogue,LOC,5,AMOL,45,Band of the Red Hand,Hornsounder,,Alive,,,,,,,,
Nela al'Caar,,Andoran,Female,,,"Gray, braided",,,,TGH,23,,,TSR,45,TSR,45,Two Rivers,,,Alive,,,,,,,,
Neilyn,,Unknown,Female,,,,,,,,,,,WH,15,WH,15,Valan Luca,,,Alive,,Entertainer,,,,,,
Negara,,Andoran,Female,,,,,,,LOC,28,,,TPOD,18,TPOD,18,,Lady,,Alive,,,,,,,,
Negaine,,Unknown,Female,Tall,,,,Spindly,,KOD,2,,,TGS,6,TGS,6,White Tower,,Aes Sedai,Alive,,,Brown Ajah,,,,,
Neferi,,Seanchan,Female,,,,,,,WH,14,,,,,,,,,Soe'feia,Dead,998 NE,,,,,,,
Nedare Satarov,,Kandori,Female,,,Glossy Black,,,,,,,,NS,23,NS,23,,,,Alive,,Innkeeper,,,,,,
Neain,,Andoran,Female,,,,,,,TSR,29,,,,,,,Two Rivers,,,Dead,999 NE,,,,,,,
Nazelle,,Kandori,Female,,,,,,,TPOD,Prologue,TPOD,Prologue,,,,,Kandor,Lady,,Alive,,,,,,,,
Natti Cauthon,956 NE,Andoran,Female,,,,,,,,,AMOL,5,TEOTW,Ravens,TSR,45,Two Rivers,,,Alive,,,,,,,,
Natasia,,Saldaean,Female,,,,"Dark, Tilted",,,,,,,NS,12,NS,14,White Tower,,Aes Sedai,Alive,,,Blue Ajah,,,,,
Nata,,Seanchan,Female,Squat,,Dark,,Bell-shaped,,,,,,AMOL,19,AMOL,19,,,,Alive,,Servant,,,,,,
Nashia,,Unknown,Female,,,,,,,,,,,TOM,52,TOM,52,The Kin,,,Alive,,,,,,,,
Narisse,,Aiel,Female,,,Graying,"Green, deep-set",,,,,,,TSR,25,TSR,25,,,,Dead,,,,Jenn Aiel,,,,
Naris Pelden,,Andoran,Female,,,,,Stocky,,,,,,COT,12,KOD,35,Elayne Trakand,,,Alive,,Maid,,,,,,
Nariene,,Altaran,Female,,,,,,,ACOS,39,,,,,,,,Queen of Altara,Queen,Dead,,,,,,,,
Narenwin Barda,913 NE,Unknown,Female,Short,,,,Thin,,TFOH,10,,,COT,Prologue,TGS,13,White Tower,,Aes Sedai,Alive,,,Yellow Ajah,,,,,
Naorisa Cambral,,Unknown,Female,,,,,,,,,,,TGS,43,TGS,43,White Tower,Sitter,Aes Sedai,Alive,,,Gray Ajah,,,,,
Nandera,,Aiel,Female,Tall,,Graying,Green,Sinewy,,,,,,LOC,21,TGS,37,,,,Alive,,,,Unknown clan,Unknown sept,,,
Nana,,Mayener,Female,,,,,,,,,,,WH,5,COT,7,,,,Alive,,Maid,,,,,,
Nan Belman,,Andoran,Female,,,,,,,,,,,LOC,28,LOC,28,Darkfriend,,,Alive,,,,,,,,
Namine Tasil,,Domani,Female,,,,,,,TGS,31,TGS,31,,,,,White Tower,,Aes Sedai,Alive,,,Brown Ajah,,,,,
Nalla,,Aiel,Female,,,,,,,TSR,26,TSR,26,,,,,,,,Dead,,,,Da'shain Aiel,,,,
Namene,,Domani,Female,Tall,,,,Slim,,,,,,KOD,24,KOD,24,White Tower,,Novice,Alive,,,,,,,,
Nalhera,,Far Madding,Female,,,Gray,,,,,,,,WH,22,WH,2,,,,Alive,,Innkeeper,,,,,,
Nalasia Merhan,,Unknown,Female,,,,,,,,,,,TGS,Epilogue,TGS,Epilogue,White Tower,,Aes Sedai,Alive,,,Brown Ajah,,,,,
Nalaene Forrell,,Ghealdanin,Female,,,,,,,TGS,39,TGS,39,,,,,Black Ajah,,Aes Sedai,Unknown,,,Yellow Ajah,,,,,
Nakomi,,Aiel,Female,,,Graying,,,,,,AMOL,Prologue,TOM,39,AMOL,Epilogue,,,,Unknown,,,,,,,,
Naiselle,,Altaran,Female,,,,,,,,,TPOD,20,TPOD,6,TPOD,20,,,,Alive,,Banker,,,,,,
Naime din Malzar,,Unknown,Female,,,,,,,,,TPOD,28,TPOD,5,TPOD,5,,,Windfinder,Alive,,,,,,,,
Nagora,,Cairhienin,Female,Short,,"Pale, in a roll",,Lean,,,,,,KOD,24,TGS,12,White Tower,,Aes Sedai,Alive,,,White Ajah,,,,,
Naeise,,Aiel,Female,,,,,,,,,,,ACOS,40,,,Sevanna,,,Dead,1000 NE,,,Shaido,Moshaine,,,
Naean Arawn,,Andoran,Female,,,Gleaming dark,"Blue, big",Slim,,,,,,TFOH,19,TOM,50,Andor,Lady,High Seat,Alive,,,,,,,,
Nadere,,Aiel,Female,Tall,,Pale,Green,Wide,,,,,,WH,Prologue,TGS,3,,,,Alive,,Wise One,,Goshien,Unknown sept,,,
Nacelle Kayama,855 NE,Malkieri,Female,Tall,,,Blue,Slender,,,,TGS,39,KOD,23,KOD,23,Black Ajah,,Aes Sedai,Dead,1000 NE,,Green Ajah,,,,,
N'Delia Basolaine,,Hol Cuchone,Female,,,,,,,TFOH,Prologue,TFOH,Prologue,,,,,Hol Cuchone,Swordfast,First Maid,Dead,,Historian,,,,,,
Lyrelle Arienwin,833 NE,Cairhienin,Female,Average,,,,,,,,,,TPOD,16,AMOL,Epilogue,White Tower,,Aes Sedai,Alive,,Sitter,Blue Ajah,,,,,
Lyndelle,,Andoran,Female,,,,,,,LOC,26,LOC,26,,,,,Andor,Queen,Queen of Andor,Dead,30 NE,,,,,,,
Lydel Elonid,,Altaran,Female,,,,,,,WH,29,WH,29,,,,,,,,Alive,,Innkeeper,,,,,,
Lusonia Cole,,Andoran,Female,,,,,,,COT,Prologue,COT,Prologue,,,,,,,Aes Sedai,Alive,,,Green Ajah,,,,,
Lusara,,Domani,Female,,,"Black, going white, shoulder-length",,Buxom,,,,,,KOD,5,KOD,28,Faile Bashere,,,Alive,,Merchant,,,,,,
Ludin,,Aiel,Female,,,,,,,,,,,AMOL,12,AMOL,12,Rand al'Thor,,,Alive,,,,Unknown clan,Unknown sept,,,
Ludice Daneen,,Taraboner,Female,,,"Long braids to waist, beaded",,Bony,,,,NS,18,NS,7,NS,8,White Tower,,Aes Sedai,Dead,979 NE,,Yellow Ajah,,,,,
Lucilde,,Andoran,Female,,,,,Lanky,,,,,,LOC,30,LOC,30,White Tower,,Novice,Alive,,,,,,,,
Luci,,Amadician,Female,,,Dark,,Thin,,,,,,TFOH,9,TFOH,10,Yellow Ajah,,,Alive,,Servant,,,,,,
Lucain,,Unknown,Female,,,Brunette,,,,,,,,TGS,40,TGS,40,White Tower,,Novice,Alive,,,,,,,,
Luaine,,Aiel,Female,,,Yellow,,,,TDR,39,LOC,53,,,,,,,,Alive,,,,Unknown clan,Unknown sept,,,
Mycal Crossin,,Altaran,Male,,,,,,,,,,,COT,26,COT,26,,,,Alive,,Merchant,,,,,,
Loya,,Altaran,Female,,,,,,,,,ACOS,28,ACOS,28,,,,,,Alive,,Servant,,,,,,
Losaine,,Aiel,Female,,,Dark,Gray,,,,,,,TPOD,Prologue,TPOD,Prologue,,,,Alive,,Wise One,,Unknown clan,Unknown sept,,,
Loral,,Domani,Female,,,,,,,,,,,TGS,32,TGS,32,House Chadmar,,,Alive,,Dosun,,,,,,
Loise al'Vere,975 NE,Andoran,Female,,,,,,,,,WH,26,TEOTW,Ravens,TEOTW,Ravens,Two Rivers,,,Alive,,,,,,,,
Lisandre,,Arafellin,Female,Tall,,"Long, golden",,,,,,,,NS,6,NS,6,White Tower,,Novice,Alive,,,,,,,,
Lisaine Jarath,,Seanchan,Female,,,Gray,Blue,,,,,,,TPOD,24,TPOD,24,,,,Alive,,,,,,,,
Lirene Doirellin,820 NE,Cairhienin,Female,Short,,,,,,ACOS,Prologue,,,KOD,24,TGS,16,White Tower,,Aes Sedai,Alive,,Sitter,Red Ajah,,,,,
Lira,,Kandori,Female,,,,,,,,,,,NS,16,NS,16,,,,,,Serving girl,,,,,,
Lini Eltring,,Andoran,Female,,,"White, in a bun",Dark,Thin,,TEOTW,40,AMOL,10,TFOH,19,TOM,44,Morgase Trakand,,,Alive,,Maid,,,,,,
Lindsar,,Unknown,Female,,,,,,Ogier,,,,,AMOL,42,AMOL,42,,,,Alive,,,,,,,,
Lind Taglien,,Unknown,Female,,,,,,,,,,,AMOL,3,AMOL,3,,,,Alive,,Innkeeper,,,,,,
Lincora,,Unknown,Female,,,,,,,,,,,KOD,22,KOD,22,,,First Twelve,Alive,,,,,,,,
Myriam Copan,,Unknown,Female,,,,,,,TWORJTWOT,,TPOD,13,,,,,White Tower,Amyrlin Seat,Aes Sedai,Dead,797 NE,,Green Ajah,,,,,
Myrelle Berengari,954 NE,Altaran,Female,,,Dark,"Dark, large",,,,,,,NS,3,AMOL,31,White Tower,,Aes Sedai,Alive,,,Green Ajah,,,,,
Musarin,,Unknown,Female,Tall,,White,,,,,,,,TGS,6,TGS,6,White Tower,,Aes Sedai,Alive,,,Yellow Ajah,,,,,
Mulinda,,Unknown,Female,,,,,,,LOC,14,LOC,14,LOC,14,LOC,14,Rebel Aes Sedai,,,Alive,,Servant,,,,,,
Mulaen,,Seanchan,Female,,,,,,,TGH,42,TGH,42,,,,,,,,Alive,,,,,,,,
Musicar,,Seanchan,Male,,,,,,,,,,,AMOL,17,AMOL,17,,,,Alive,,Deathwatch Guard,,,,,,
Musenge,,Seanchan,Male,,,,,Stocky,,,,,,WH,14,AMOL,17,,,Captain,Alive,,Deathwatch Guard,,,,,,
Musar,,Saldaean,Male,Short,,,Tilted dark,,,LOC,2,LOC,2,LOC,2,LOC,2,,Noble,Soldier,Alive,,,,,,,,
Murellin,,Unknown,Male,,,,,Hulking,,,,KOD,31,TPOD,28,COT,15,Darkfriend,,,Alive,,,,,,,,
Murel,,Seanchan,Male,,,,Tilted,Lean,,,,,,KOD,7,KOD,7,,,,Alive,,Soldier,,,,,,
Muradin,,Aiel,Male,,,,,,,TSR,23,,,TSR,25,,,,,,Dead,999 NE,,,Shaido,Unknown sept,,,
Muadh,,Unknown,Male,,,,,,,,,,,TGH,29,TGH,29,Children of the Light,,,Dead,999 NE,Soldier,,,,,,
Muad Cheade,,Saldaean,Male,,,,,,,LOC,2,LOC,2,,,,,Saldaea,,Marshal-General,Dead,,Soldier,,,,,,
Mosk,,Unknown,Male,,,,,,,TEOTW,4,TSR,20,,,,,,Mosk the Giant,,Fictional character,,,,,,,,
Moshea,,Unknown,Male,,,,,,,TSR,41,TSR,41,,,,,,,,Alive,,,,,,,,
Morly Hardlin,,Unknown,Male,,,,,,,,,TOM,46,TPOD,26,TPOD,26,Logain Ablar,,Asha'man,Alive,,Asha'man,,,,,,
Lifa,,Unknown,Female,,,,,,,AMOL,37,AMOL,37,,,,,The Shadow,,,Dead,1000 NE,Merchant,,,,,,
Lidya,,Seanchan,Female,,,Red,,,,,,KOD,36,WH,14,WH,14,Ever Victorious Army,,,Alive,,,,,,,,
Lidan,,Cairhienin,Female,,,,,,,,,,,TGH,21,TGH,21,,,,Alive,,Maid,,,,,,
Liandrin Guirale,964 NE,Taraboner,Female,,,Honey-colored and braided,Dark Brown,,,,,TGS,39,TGH,4,KOD,Prologue,Black Ajah,,Aes Sedai,Unknown,,,Red Ajah,,,,,
Lian,,Aiel,Female,,,Yellow Graying slightly,Gray,,,TSR,12,TSR,50,TSR,49,TSR,49,,,,Alive,,Roofmistress,,Taardad,Nine Valleys,,,
Liah,,Aiel,Female,,,,,,,,,TGS,37,LOC,3,ACOS,41,,,,Dead,1000 NE,,,Chareen,Cosaida,,,
Leyn,,Aiel,Female,,,,,,,,,,,ACOS,19,ACOS,19,,,,Alive,,Wise One,,,Unknown sept,,,
Leya,,Unknown,Female,,,Gray,,,,,,,,TDR,1,TDR,5,,,,Dead,999 NE,,,,,,,
Letice Murow,,Murandian,Female,,,,Pale,,,,,,,COT,17,COT,17,White Tower,,Novice,Alive,,,,,,,,
Lerian,,Aiel,Female,,,Sandy,,Skinny,,,,,,LOC,45,TOM,25,,,,Alive,,,,Unknown clan,Unknown sept,,,
Leral Anan,,Altaran,Female,,,,,,,,,WH,29,WH,19,WH,29,,,,Alive,,Maid,,,,,,
Muelin,,Unknown,Female,,,,,,,,,,,TFOH,40,TFOH,40,Valan Luca,,,Alive,,Entertainer,,,,,,
Morvrin Thakanos,,Illianer,Female,,,Graying,,Stout and plump,,,,,,TFOH,27,TOM,37,White Tower,,Aes Sedai,Alive,,,Brown Ajah,,,,,
Morsa,,Seanchan,Female,Short,,,,,,,,,,TFOH,32,TFOH,32,,,,Alive,,Lady,,,,,,
Morin,,Aiel,Female,,,Yellow,,,,,,,,TSR,25,,,,,,Dead,,,,,,,,
Moria Karentanis,840 NE,Illianer,Female,,,,,,,TPOD,16,TGS,45,TPOD,18,TGS,43,Black Ajah,,Aes Sedai,Dead,1000 NE,Sitter,Blue Ajah,,,,,
Moria Elward,,Unknown,Female,,,,,,,,,,,TSR,17,TSR,17,,,,Dead,,Farmer,,,,,,
Moridin,,Unknown,Male,"Very tall/ 6 feet 5,  as tall as Rand",,Black,"Blue, black flecked",Broad-shouldered,,,,,,ACOS,20,AMOL,Prologue,,,,Dead,,,,,,,,
Moressin Damodred,,Cairhienin,Male,,,,,,,NS,5,NS,5,,,,,,Lord,,Dead,978 NE,,,,,,,
Morel,,Unknown,Male,,,,,,Ogier,LOC,20,LOC,20,,,,,,,,Dead,,,,,,,,
Morear,,Andoran,Male,,,,,,,,,,,AMOL,Prologue,AMOL,Prologue,,,,,,Soldier,,,,,,
Mordeth,,Unknown,Male,,,,,,,,,AMOL,Epilogue,TEOTW,19,AMOL,47,,,,Dead,,,,,,,,
Mord,,Domani,Male,,,,,,,TGS,32,TGS,32,,,,,,,,Alive,,Questioner,,,,,,
Moor,,Unknown,Male,,,,,,,TOM,1,TOM,1,,,,,,,,Alive,,Farmer,,,,,,
Montem al'San,,Andoran,Male,,,,,,,,,,,TOM,10,TOM,10,Perrin Aybara,,,Alive,,Soldier,,,,,,
Mishael,,Unknown,Male,,,,,,,WH,23,WH,23,,,,,,,,Alive,,,,,,,,
Moad din Nopara Red Hawk,,Unknown,Male,,,Gray,Hard,,,,,,,ACOS,34,WH,35,,,Swordmaster,Alive,,,,,,,,
Lemore Genhal,,Taraboner,Female,,,,,,,WH,8,KOD,14,,,,,Kin,,,Alive,,,,,,,,
Lemai Ambani,,Unknown,Female,,,,,,,,,,,WH,Prologue,COT,Prologue,White Tower,,Aes Sedai,Alive,,,Red Ajah,,,,,
Lelaine Akashi,,Kandori,Female,,,,"Dark, Penetrating",Slender,,,,,,NS,11,AMOL,37,White Tower,First Selector,Aes Sedai,Alive,,Sitter,Blue Ajah,,,,,
Leitha,,Tairen,Female,,,,,,,,,,,TSR,21,TSR,21,,Lady of the Land,,Alive,,,,,,,,
Leish,,Unknown,Female,,,White,,Plump,,,,,,AMOL,3,AMOL,3,,,,Alive,,,,,,,,
Leilwin (Taraboner),,Taraboner,Female,,,,,,,TSR,38,TSR,38,,,,,Tarabon,,,Alive,,,,,,,,
Leich,,Altaran,Female,,,,,,,TDR,33,TDR,33,,,,,,Wisdom,,Alive,,Healer,,,,,,
Leeh,,Aiel,Female,,,,,,,,,,,TOM,13,TOM,13,,,,Alive,,,,Unknown clan,Unknown sept,,,
Leane Sharif,952 NE,Domani,Female,Tall (roughly 6ft),,,,Thin,,,,,,NS,11,AMOL,37,White Tower,,Aes Sedai,Alive,,,Green Ajah,,,,,
Mori,,Aiel,Female,,,,,,,,,,,TOM,4,TOM,4,Perrin Aybara,,,Alive,,,,Unknown clan,Unknown sept,,,
Morgase Trakand,957 NE,Andoran,Female,"1 pace, 2 feet, 6 inches",,Red-gold curls,Blue,,,NS,5,,,TEOTW,40,AMOL,37,House Trakand,Lady,,Alive,,,,,,,,
Mordrellen Mantear,,Andoran,Female,,,,,,,TFOH,19,COT,11,,,,,,Queen,Queen of Andor,Dead,,,,,,,,
Moradri,,Mayener,Female,,,,,Long-limbed,,,,,,TGS,41,TGS,41,White Tower,,Aes Sedai,Alive,,,Green Ajah,,,,,
Mora,,Aiel,Female,,,,,,,LOC,15,,,,,,,,,,Dead,,Wise One,,Shaarad,Unknown sept,,,
Mora (Goshien),,Aiel,Female,,,,,,,TOM,49,,,,,,,,,,unknown,,Wise One,,Goshien,Unknown sept,,,
Monaelle,,Aiel,Female,Short,,"Red, hints of blond",,,,,,,,WH,Prologue,KOD,15,,,,Alive,,Wise One,,Goshien,Unknown sept,,,
Moiraine Damodred,956 NE,Cairhienin,Female,Short,,Brown,"Large, Brown",,,,,,,NS,2,AMOL,Epilogue,,Lady,Aes Sedai,Alive,,,Blue Ajah,,,,,
Mordaine,,Aiel,Female,,,Graying,"Green, deep-set",,,,,,,TSR,25,TSR,25,,,,Dead,,,,Jenn Aiel,,,,
Moilin,,Unknown,Female,,,,,,Ogier,TDR,50,TDR,50,,,,,,,,Dead,,Historian,,,,,,
Moghedien,Age of Legends,Unknown,Female,,,"Shoulder length, dark","Large, dark",Sturdy,,TSR,9,,,TSR,46,AMOL,Epilogue,,,Chosen,Alive,,,,,,,,
Milam Harnder,,Andoran,Male,,,Bald,,,,LOC,46,COT,14,,,,,Demira Eriff,,,Alive,,Librarian,,,,,,
Mikhel Najirah,,Seanchan,Male,,,Graying,,Lanky,,,,,,KOD,Prologue,KOD,Prologue,,,Banner-General,Alive,,,,,,,,
Mikel,,Unknown,Male,,,,,,,,,,,TGH,47,,,Horn of Valere,,Hero of the Horn,Bound to the Wheel,,,,,,,,
Mezar Kurin,,Domani,Male,Short,,Graying,,,,,,,,WH,Prologue,AMOL,8,The Shadow,,Asha'man,Alive,,Dreadlord,,,,,,
Metwyn,,Cairhienin,Male,,,,,Slender,,,,,,ACOS,38,KOD,26,Band of the Red Hand,,Redarm,Alive,,Soldier,,,,,,
Metalan,,Aiel,Male,Tall,,,,,,TOM,48,,,,,,,,,,Unknown,,Unknown occupation,,Unknown clan,Unknown sept,,,
Mervin Poel,,Unknown,Male,,,Bald,,,,,,KOD,21,LOC,18,WH,Prologue,School of Cairhien,,,Alive,,Inventor,,,,,,
Merk,,Unknown,Male,,,,,,,TSR,20,,,,,,,,Merk the Giant,,Fictional character,,,,,,,,
Merk (farmer),,Borderlander,Male,,,,,,,,,,,TGS,Prologue,TGS,Prologue,,,,Alive,,Farmer,,,,,,
Meresin Daganred,,Cairhienin,Male,,,Shaved,,Slender,,,,,,TFOH,30,LOC,5,Band of the Red Hand,Lord,Lieutenant,Alive,,Soldier,,,,,,
Merekel,,Shienaran,Male,,,,,,,,,,,TOM,23,TOM,23,Lan Mandragoran,,,Alive,,Soldier,,,,,,
Laurain,,Amadician,Female,,,,,Slender,,,,LOC,9,LOC,9,LOC,9,,Lady,,Alive,,,,,,,,
Latelle Luca,,Unknown,Female,,,"Short, Dark",Dark,,,,,,,TFOH,17,KOD,11,Valan Luca,,,Alive,,Entertainer,,,,,,
Laritha,,Unknown,Female,,,,,,,LOC,40,,,,,,,,,,Alive,,Housewife,,,,,,
Larissa Lyndel,,Unknown,Female,,,,,Bony,,,,TGS,39,LOC,30,LOC,30,Black Ajah,,Aes Sedai,Dead,1000 NE,,Yellow Ajah,,,,,
Larine Ayellin,981 NE,Andoran,Female,,,Thick braid,,Willowy,,,,COT,30,LOC,10,LOC,11,White Tower,,Novice,Alive,,,,,,,,
